Bad elabel in energy_df = 940.2_44259; season = HIGH2017; No record in energy tables
Bad elabel in energy_df = 495_49372; season = RHO2018; No record in energy tables
Bad elabel in energy_df = 345_53270; season = RHO2018; No record in energy tables
Bad elabel in energy_df = 250_86692; season = LOW2020; No record in energy tables
